Work Item Type,Title,Description,Acceptance Criteria,Priority,State,Tags
Epic,Application QA Testing,"Développer une application React avec des bugs intentionnels pour former les équipes QA aux tests manuels","• Application fonctionnelle avec interface utilisateur complète
• Documentation des bugs intentionnels fournie
• Environnement de test opérationnel
• Formation QA possible sur différents types de bugs",1,New,"Epic;QA;Formation"
Feature,Gestion des Utilisateurs,Permettre la gestion complète des utilisateurs,"• L'utilisateur peut ajouter, modifier, supprimer et consulter les utilisateurs
• Validation des données
• Persistance en session",1,New,"Feature;Users;CRUD"
Feature,Système de Compteur,Fournir un compteur interactif,"• Compteur avec incrémentation, décrémentation et reset
• Limitations et alertes
• Interface responsive",2,New,"Feature;Counter;Interactive"
Feature,Catalogue Produits,Afficher une liste de produits avec fonctionnalités avancées,"• Liste produits avec recherche, tri, filtrage et achat
• Performance optimisée
• Interface adaptative",1,New,"Feature;Products;Search;Sort"
Feature,Interface et Thème,Fournir une interface utilisateur moderne et accessible,"• Interface responsive avec thèmes multiples
• Accessibilité WCAG
• États de chargement",2,New,"Feature;UI;Theme;Responsive"
Feature,Gestion des Erreurs,Système complet de gestion et affichage des erreurs,"• Messages d'erreur contextuels
• Gestion des exceptions
• Logging des erreurs",2,New,"Feature;Error;Handling"
User Story,Ajout d'un utilisateur,"En tant qu'administrateur, je veux ajouter un nouvel utilisateur afin d'enrichir ma base d'utilisateurs","**Critères fonctionnels :**<br/>• Le formulaire contient nom, email, âge<br/>• Validation en temps réel<br/>• Confirmation d'ajout<br/>• Auto-clear du formulaire<br/><br/>**Règles de gestion :**<br/>• Nom : 2-50 caractères, lettres, espaces, traits d'union uniquement<br/>• Email : format RFC5322 obligatoire<br/>• Âge : 0-150 ans (optionnel)<br/>• ID auto-généré unique<br/>• Limite 1000 utilisateurs max<br/>• Pas de doublons email",1,New,"PBI;Add;Form;Validation"
User Story,Modification d'un utilisateur,"En tant qu'administrateur, je veux modifier les informations d'un utilisateur afin de maintenir les données à jour","**Critères fonctionnels :**
• Bouton modifier sur chaque carte
• Formulaire pré-rempli
• Sauvegarde instantanée
• Validation identique à l'ajout

**Règles de gestion :**
• Mêmes règles que création
• Conservation de l'ID original
• Horodatage de modification
• Vérification unicité email lors modification",2,New,"PBI;Edit;Update;Validation"
User Story,Suppression d'un utilisateur,"En tant qu'administrateur, je veux supprimer un utilisateur afin de maintenir ma liste à jour","**Critères fonctionnels :**
• Bouton supprimer avec confirmation
• Modal de confirmation explicite
• Possibilité d'annulation
• Suppression immédiate

**Règles de gestion :**
• Confirmation obligatoire avec nom utilisateur
• Délai grâce 5 secondes avec bouton annuler
• Suppression définitive sans récupération
• ID supprimé non réutilisable
• Journal des suppressions en session",1,New,"PBI;Delete;Confirmation;Modal"
User Story,Recherche d'utilisateurs,"En tant qu'administrateur, je veux rechercher des utilisateurs afin de les trouver rapidement","**Critères fonctionnels :**
• Champ de recherche multi-critères
• Recherche temps réel
• Surlignage des résultats
• Message si aucun résultat

**Règles de gestion :**
• Recherche dès 1er caractère
• Insensible casse et accents
• Recherche sur nom et email
• Délai 300ms après arrêt saisie
• Limite 100 caractères
• Historique recherche en session",2,New,"PBI;Search;Users;RealTime"
User Story,Tri des utilisateurs,"En tant qu'administrateur, je veux trier les utilisateurs afin de les organiser selon mes critères","**Critères fonctionnels :**
• Menu déroulant avec options multiples
• Tri par nom, email, âge, date création
• Ordre croissant/décroissant
• Conservation lors recherche

**Règles de gestion :**
• Tri par défaut par nom A-Z
• Tri insensible casse
• Tri secondaire par ID en cas égalité
• Application immédiate
• Conservation choix pendant session",3,New,"PBI;Sort;Users;Multiple"
User Story,Pagination des utilisateurs,"En tant qu'administrateur, je veux paginer la liste des utilisateurs afin d'améliorer les performances","**Critères fonctionnels :**
• Navigation par pages
• Choix du nombre d'éléments par page
• Indicateurs de position
• Raccourcis clavier

**Règles de gestion :**
• 10 utilisateurs par page par défaut
• Options 5-10-25-50 par page
• Navigation clavier fléchés
• Numérotation 1-N
• Conservation page lors filtrage",3,New,"PBI;Pagination;Performance;Navigation"
User Story,Recherche de produits,"En tant qu'utilisateur, je veux rechercher des produits afin de trouver rapidement ce qui m'intéresse","**Critères fonctionnels :**
• Champ recherche visible
• Recherche temps réel
• Filtrage instantané
• Message absence résultats

**Règles de gestion :**
• Recherche dès 1 caractère
• Insensible casse accents
• Recherche nom uniquement
• Délai 300ms
• Caractères spéciaux échappés
• Limite 100 caractères
• Historique session",1,New,"PBI;Search;Products;RealTime"
User Story,Tri des produits,"En tant qu'utilisateur, je veux trier les produits afin de les organiser selon mes préférences","**Critères fonctionnels :**
• Menu déroulant nom et prix
• Tri alphabétique A-Z
• Tri prix croissant
• Application immédiate

**Règles de gestion :**
• Tri par défaut nom alphabétique
• Insensible casse accents
• Tri prix secondaire par nom si égalité
• Application sur résultats filtrés
• Conservation choix recherche",2,New,"PBI;Sort;Products;Dropdown"
User Story,Filtrage par catégorie,"En tant qu'utilisateur, je veux filtrer les produits par catégorie afin de naviguer plus facilement","**Critères fonctionnels :**
• Liste des catégories disponibles
• Filtrage par sélection
• Combinaison avec recherche
• Compteur par catégorie

**Règles de gestion :**
• Affichage toutes catégories existantes
• Comptage dynamique produits par catégorie
• Filtre ""Toutes"" par défaut
• Combinable avec recherche et tri
• Reset facile",2,New,"PBI;Filter;Category;Navigation"
User Story,Affichage détaillé produit,"En tant qu'utilisateur, je veux voir les détails d'un produit afin de prendre une décision éclairée","**Critères fonctionnels :**
• Modal ou page détail
• Informations complètes
• Images si disponibles
• Bouton achat prominent

**Règles de gestion :**
• Modal overlay avec fermeture ESC
• Informations nom, prix, catégorie, description
• Navigation produit précédent/suivant
• Fermeture clic extérieur
• Bouton achat dans modal",2,New,"PBI;Details;Modal;Product"
User Story,Panier d'achat,"En tant qu'utilisateur, je veux ajouter des produits au panier afin de gérer mes achats","**Critères fonctionnels :**
• Ajout au panier depuis liste
• Indicateur nombre articles
• Gestion quantités
• Total dynamique

**Règles de gestion :**
• Persistence panier en session
• Quantité minimum 1, maximum 99
• Calcul total automatique
• Suppression articles possible
• Vidage panier complet
• Limite 50 articles différents",1,New,"PBI;Cart;Shopping;Management"
User Story,Processus d'achat,"En tant qu'utilisateur, je veux finaliser mon achat afin de compléter ma commande","**Critères fonctionnels :**
• Récapitulatif commande
• Formulaire informations
• Confirmation achat
• Numéro commande

**Règles de gestion :**
• Simulation achat uniquement
• Génération numéro commande unique
• Sauvegarde commande en session
• Email confirmation simulé
• Reset panier après achat
• Historique commandes",1,New,"PBI;Purchase;Checkout;Simulation"
User Story,Utilisation du compteur,"En tant qu'utilisateur, je veux utiliser un compteur afin de compter des éléments","**Critères fonctionnels :**
• Affichage valeur claire
• Boutons plus, moins, reset
• Messages contextuels
• Limitations

**Règles de gestion :**
• Valeur initiale 0
• Minimum 0, maximum 999
• Incrémentation par 1
• Message alerte si valeur supérieure 10
• Bouton moins désactivé à 0
• Bouton plus désactivé à 999
• Reset obligatoirement à 0
• Anti-spam clics 100ms",2,New,"PBI;Counter;Buttons;Limits"
